"time","mean","stdev","min","max","q1","q3","median","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
3.9,1.76785714286,2.15465502234,0,10,0.0,2.0,1.0,2,2,3,3,6,0,1,0,0,2,1,1,5,2,3,1,5,9,4,3,10,0,0,1,1,0,2,1,4,0,0,2,3,0,6,1,1,1,0,0,1,1,0,2,1,0,0,0,0,2,1,1,2,0,2,0
4.0,1.80357142857,2.18288507368,0,10,0.0,2.0,1.0,2,2,4,4,6,0,1,0,0,2,1,1,5,2,3,1,5,9,4,3,10,0,0,1,1,0,2,1,4,0,0,2,3,0,6,1,1,1,0,0,1,1,0,2,1,0,0,0,0,2,1,1,2,0,2,0
4.1,2.23214285714,2.46396219408,0,11,0.0,3.0,1.5,4,3,5,6,8,0,2,0,0,2,1,2,6,3,5,2,5,9,5,3,11,0,0,1,1,2,3,1,4,0,0,2,4,0,6,1,2,1,0,0,1,1,0,2,1,0,0,0,0,3,1,1,2,1,2,0
4.2,2.375,2.62924826302,0,11,0.0,4.0,1.0,4,4,6,7,8,1,4,0,0,2,1,2,6,5,6,4,6,9,5,3,11,0,1,1,1,2,3,1,3,0,0,1,4,0,6,1,2,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,3,1,2,0
4.3,2.14285714286,2.29462548632,0,10,0.0,3.25,1.0,4,3,5,7,6,1,4,1,0,2,1,2,6,5,4,4,5,8,4,2,10,0,1,1,1,3,3,0,3,0,0,1,2,0,5,1,2,1,0,0,0,0,0,1,0,0,0,0,1,3,1,1,2,1,2,0
4.4,2.33928571429,2.4515067212,0,9,0.0,4.0,1.0,4,3,5,7,6,2,4,1,0,3,1,2,6,6,4,4,6,8,4,1,9,0,1,0,0,4,4,0,5,1,0,1,2,1,8,3,2,1,0,0,0,0,0,1,0,0,0,0,1,4,1,0,2,1,2,0
4.5,2.57142857143,2.55550626,0,10,0.75,4.0,2.0,4,3,6,7,7,2,4,1,0,3,1,2,6,6,5,4,6,9,4,2,10,0,0,0,0,4,4,0,5,1,0,1,2,1,8,3,2,1,0,1,2,1,0,1,0,0,0,0,2,5,2,0,2,1,2,1
4.6,2.57142857143,2.73115061347,0,11,0.0,4.0,2.0,5,3,5,8,6,2,4,0,0,3,1,2,7,5,3,5,7,11,4,2,10,0,0,0,0,4,4,0,5,1,0,1,2,1,9,3,2,1,0,1,2,1,0,1,0,0,0,0,2,4,1,0,2,1,2,1
4.7,2.64285714286,2.5384793777,0,11,1.0,4.0,2.0,4,3,5,6,6,2,4,0,0,2,1,3,7,5,4,4,6,10,5,2,11,0,0,0,1,4,4,0,5,1,0,1,2,1,8,3,2,1,0,2,2,1,0,2,0,1,0,1,2,4,2,0,2,1,4,1
4.8,2.89285714286,2.7689513966,0,13,1.0,4.0,2.0,4,2,6,6,6,2,3,0,2,2,1,2,8,5,5,4,6,10,5,3,13,0,0,1,3,4,4,0,7,1,0,1,2,1,9,4,2,1,0,3,1,1,0,4,2,1,0,1,2,4,1,0,2,1,4,0
